Title,Name,Name_original,CV,Element,Class,Limit?,Release,Weapon_on,Weapon_final,Weapon_wait,From_3_to_4,,,
Kill Me Baby,Oribe Yasuna,折部 やすな,赤﨑千夏,e,k,0,2018/1/19,2018/11/21,2019/2/27,306,98,,,
Hidamari Sketch,Miyako_xmas,宮子【クリスマス】,水橋かおり,s,k,1,2019/12/15,2020/10/13,,303,57+,,,
Comic Girls,Irokawa Ruki,色川 琉姫,大西沙織,e,a,0,2020/2/16,,,297,X,,,
Harukana Receive,Higa Kanata,比嘉 かなた,宮下早紀,f,m,0,2019/7/3,2020/4/23,2020/8/27,295,126,,,
Kirara Fantasia,Leine,ライネ,茅野愛衣,s,w,0,2020/2/18,,,295,X,,,
Slow Start,Ichinose Hana,一之瀬 花名,近藤玲奈,a,p,0,2018/4/11,2019/1/29,2019/3/28,293,58,,,
A Channel,Ichii Tooru,トオル,悠木碧,a,w,0,2017/12/11,2018/9/27,2019/1/16,290,111,,,
Yuru Camp,Inuyama Aoi,犬山 あおい,豊崎愛生,a,k,0,2019/3/31,2020/1/15,2020/6/23,290,160,,,
Yuyushiki,Nonohara Yuzuko,野々原 ゆずこ,大久保瑠美,f,w,0,2017/12/11,2018/9/27,2019/1/16,290,111,,,
Blend S,Kanzaki Hideri_hinamatsuri,ひでり【ひな祭り】,徳井青空,e,k,1,2020/2/28,,,285,X,,,
Kirara Fantasia,Clea_hinamatsuri,クレア【ひな祭り】,和氣あず未,a,m,1,2020/2/28,,,285,X,,,
Slow Start,Shion_hinamatsuri,志溫【ひな祭り】,M・A・O,a,w,1,2020/2/28,,,285,X,,,
Yumekui Merry,Merry Nightmare,メリー・ナイトメア,佐倉綾音,m,w,0,2018/2/16,2018/11/21,2019/2/27,278,98,,,
Magic of Stella,Seki Ayame,関 あやめ,小澤亜李,m,w,0,2020/3/15,,,269,X,,,
Magic of Stella,Iketani Nono,池谷 乃々,日高里菜,f,m,0,2020/3/16,,,268,X,,,
Is the Order a Rabbit?,Hoto Mocha,モカ,茅野愛衣,w,k,0,2020/3/18,,,266,X,,,
Kiniro Mosaic,Kujou Karen,九條 カレン,東山奈央,m,w,0,2017/12/11,2018/8/30,2018/11/21,262,83,,,
Kirara Fantasia,Fennel,フェンネル,五十嵐裕美,m,k,1,2020/3/20,,,264,X,,,
Magic of Stella,Honda Tamaki,本田 珠輝,長縄まりあ,e,m,0,2017/12/11,2018/8/30,2018/11/21,262,83,,,
Anima Yell!,Tatejima Kotetsu_xmas,虎徹【クリスマス】,楠木ともり,a,m,1,2019/12/11,2020/8/27,,260,104+,,,
Blend S,Sakuranomiya Maika,桜ノ宮 苺香,和氣あず未,s,m,0,2018/1/10,2018/9/27,2019/1/16,260,111,,,
